time,infectious_A,infectious_B
161.85845710341837,12.0,9.0
162.39882290420206,12.0,10.0
162.4034209970672,11.0,10.0
162.40488483436764,11.0,9.0
162.51242045950204,10.0,9.0
162.67516828316704,10.0,10.0
162.78426637756203,10.0,10.0
162.93568957989444,11.0,10.0
163.23097642473388,11.0,11.0
163.39255160970643,12.0,11.0
163.51714530304415,13.0,11.0
163.54007402758862,12.0,11.0
163.70553046690486,11.0,11.0
163.8139180666875,10.0,11.0
163.96146187286655,10.0,10.0
164.03910768698378,10.0,11.0
164.1047029665108,9.0,11.0
164.29946434750286,9.0,10.0
164.7853766338559,10.0,10.0
164.8261630494019,10.0,11.0
165.00876281819237,10.0,12.0
165.19889090922345,10.0,12.0
165.4011813154087,11.0,12.0
165.5761505910378,12.0,12.0
165.8845872153128,11.0,12.0
166.20222043866713,11.0,13.0
166.29227823029711,11.0,14.0
166.60792406739574,11.0,13.0
166.80811885107278,10.0,13.0
166.813298841257,10.0,12.0
166.85626302063008,11.0,12.0
166.87289409278546,10.0,12.0
166.9015684377846,10.0,11.0
166.93186418347054,9.0,11.0
167.65667897271805,9.0,12.0
167.73448806536254,9.0,13.0
167.9013023898226,8.0,13.0
168.14474190336526,8.0,12.0
168.26250883247465,8.0,13.0
168.83412858897864,9.0,13.0
168.87974814755614,9.0,12.0
169.04259295230483,10.0,12.0
169.1359600908911,11.0,12.0
169.42050266015812,11.0,12.0
169.8096090615275,11.0,12.0
170.12393343783648,11.0,13.0
170.34349368304203,11.0,12.0
170.46866166067082,11.0,11.0
170.5132001812769,10.0,11.0
170.51363101872926,9.0,11.0
170.54981266513113,9.0,11.0
170.62093476605276,9.0,12.0
170.76511805895797,9.0,11.0
171.1105312949371,10.0,11.0
171.49962399005273,10.0,12.0
171.60704156882548,9.0,12.0
171.81302456203588,10.0,12.0
172.0112922665857,10.0,11.0
172.054595053686,10.0,12.0
172.57550274095712,10.0,13.0
172.6719377596604,11.0,13.0
173.10030717556026,11.0,12.0
173.13720331862098,10.0,12.0
173.25983220611153,11.0,12.0
173.3344287111404,10.0,12.0
173.50780962530993,10.0,13.0
173.81967408692097,10.0,14.0
173.81982653502916,9.0,14.0
173.90230998109698,9.0,13.0
174.0531576510494,10.0,13.0
174.08126612688835,9.0,13.0
174.10230755513896,9.0,14.0
174.29025803969787,9.0,15.0
174.3419751970082,8.0,15.0
174.92008462753796,8.0,14.0
175.20304341455812,9.0,14.0
175.2848072995736,9.0,13.0
175.5421348434612,8.0,13.0
175.77781377290833,7.0,13.0
176.34638115577263,7.0,12.0
176.84550280013573,7.0,12.0
176.9128297090349,6.0,12.0
177.338557125423,6.0,11.0
177.62667646485136,5.0,11.0
177.70414213051288,5.0,12.0
178.89635336714,5.0,12.0
179.30391520132886,6.0,12.0
179.57757523534167,6.0,13.0
179.79220846781078,7.0,13.0
179.96086483124932,7.0,13.0
180.16320813499019,7.0,12.0
180.33007240054158,6.0,12.0
181.05008533863915,6.0,11.0
181.50187775506438,6.0,10.0
181.54852788502805,6.0,9.0
182.0731838809983,7.0,9.0
182.19720934094244,7.0,9.0
182.78021637054326,7.0,8.0
182.82429133662612,7.0,9.0
182.82475993276864,8.0,9.0
182.87291361674195,7.0,9.0
183.2289829909012,7.0,8.0
183.52619032627697,7.0,7.0
183.70645278590706,7.0,8.0
183.7253813537056,7.0,7.0
184.27041381260966,6.0,7.0
184.29459742197025,5.0,7.0
184.39705717588905,4.0,7.0
184.88746705090264,4.0,6.0
185.49131489799444,4.0,5.0
185.92421065692912,5.0,5.0
185.9282816134373,5.0,4.0
186.7793438919778,5.0,4.0
187.1822376416421,6.0,4.0
187.93790111416087,6.0,5.0
188.16378580640713,5.0,5.0
188.28295554934144,5.0,4.0
188.39245611908433,6.0,4.0
188.43019885054863,6.0,5.0
188.51534782276696,5.0,5.0
